,News,Category
18807,"Modi should unite all, not make us fear him.If the prime minister is to move the country ahead, he needs to calm the fears and restore social peace.",politics
1560,Why IMF doubts Modi government's ability to contain inflation.It is not just about monetary policy.,business
3368,"Why I feel you can bank on Trezor wallet to store your cryptocurrency.It not only stores bitcoins, but it can also be used to securely keep your ERC-20 tokens, among other things.",tech
4833,Cricket World Cup 2015: Why did the Star Sports ad for the India vs South Africa match go viral.It doesn't take too much to get passions firing when it comes to cricket. And the Star Sports ads seem to be doing just that.,sports
1704,What Make in India can learn from Malaysian economy.Increase in discontentment is a fallout which will sooner or later come to haunt the growth story.,business
3288,"What is consciousness, and will artificial intelligence become conscious?.This article was written by Subhash Kak, Regents professor of electrical and computer engineering, Oklahoma State University.",tech
351,Aamir Khan is sorry for Thugs Of Hindostan. Why we're seeing the three Khans increasingly apologise.It is not as if big banner films have never tanked in the past. But seldom did Amitabh Bachchan have to apologise for a flop!,Arts
3176,India has a WhatsApp problem and something needs to be done about it.Fake news to rape videos - perhaps it is time we start regulating it.,tech
1043,"Health over economic emergency: India's choice.In the fight between lives and livelihoods, the Indian government has adopted the approach of saving lives and tackling with the Covid-19 health emergency.",business
1474,"Empowering women is paying off in rural India, literally.Self-help groups, of 10-20 poor women from similar backgrounds who pool their savings into a fund, are the biggest generators of social capital in villages.",business
3976,Why I am so fired up about FIFA World Cup 2018.Lionel Messi is still carrying all of Argentina to the World Cup.,sports
18773,Make in India can happen only if we make India clean.Cleanliness is a necessary condition of the modern economy and Modi is on the right path.,politics
51,"Remembering Shammi Kapoor, India's answer to Elvis Presley.The ever-energetic, almost bouncy, yet deliciously broody-eyed Shammi Kapoor showed us it is okay to be a little crazy in love, and taught us the twist!",Arts
3713,TRAI's one-rupee fix for call drops is no solution at all.No consumer is going to entangle himself or herself in the hassle of proving something for Rs 3 per day.,tech
2866,Charlie Hebdo: You can't kill humour.Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
223,"Sucker Video: I am a ‘sucker’ for Priyanka Chopra and Nick Jonas. And Joe Jonas. And Sophie Turner.But then, not everything is A-plus about the Jonas' parivaar video starring our very own PeeCee. Something sucks. Here’s taking a look",Arts
464,"Erratic set-top box, weak WiFi: How cricket in the time of radio defied all.One didn’t even have to get out from under one’s blanket. Twiddle a knob and you were transported to Perth.",Arts
380,"#MovieReview: Thugs Of Hindostan is a half-cooked pot of biryani. It's nice, but not fulfilling..The Aamir Khan-Amitabh Bachchan starrer lacks smack, but tries to make up with a generous sprinkling of patriotism. We give it 3.5.",Arts
18769,"Is Arvind Kejriwal Delhi's Modi now?.The AAP is trying to adopt a distinctly Modi-esque vocabulary of development. The party is selling dreams, Modi style.",politics
2733,From #WeWontGiveItBack to #ShameInSydney.It was a tragedy to see what became of the media after the Indian cricket team lost in the World Cup semi-finals.,humour
662,Why Indian women choose to be invisible.Gender and development expert Deepa Narayan on why 'we need an awakening to clean up the gender dirt'.,Arts
623,"How to write a story connecting the past with the present, using science, history and mythology.Not only are there similarities between the Greek gods and the Vedic devas, but there is a goddess in Irish mythology who is also mentioned in the Mahabharata.",Arts
4134,"Why I wasn't so morose after India lost to Pakistan in Champions Trophy final.Most Indian fans thought Virat Kohli, the de facto successor to Sachin Tendulkar’s demigod status, could do no wrong.",sports
1356,FDI in India: Modi must address regional disparities for economic growth.Eastern India possesses immense potential.,business
3933,"Why Virat Kohli is fantastic, but won't reach the heights of Pataudi, or Dravid.Kohli's aggression, competence never quite conveys the sense of sportsmanship that Dravid communicates.",sports
1742,Why Moody’s views should be a wake-up call for Modi government.The global ratings agency 'Inside India' report identifies slow reforms as the biggest threat to India’s macroeconomic story.,business
2800,What made Modi fall off the chair when he met Kejriwal and Sisodia?.Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
3209,Why the woke Indian is still not worrying enough about data privacy.Blindly trusting organisations or people to safeguard your information is naïve.,tech
1489,"How Modi turned demonetisation, a drive against black money, for cashless India.It remains to be seen whether the PM manages to get out of this 'chakravyuh', or eventually gets consumed by it.",business
4012,"Does the IPL wanna go to rehab?.The obnoxious, over-the-top, push-plug, plug-push avatar has taken a break – but oddly it feels like just another cricket match on TV.",sports
4757,"Cricket World Cup 2015: Thank you, Team India.Let the MS Dhoni and his team be given a warm welcome when they return home.",sports
976,"Like Rajinikanth jokes, the superstar too is getting old and repetitive.Thalaiva's fans will be livid to hear this, but their hero needs to start essaying characters closer to his age.",Arts
982,Prasoon Joshi as CBFC chief will be a lot better than Pahlaj Nihalani.The I&B ministry has taken a positive step and reassured the Indian film industry.,Arts
18819,"Why the Wagah bombers are unlikely to realise their objective.It is still too early to say whether Pakistan's decade-long war against its ""Bad Taliban"" is over.",politics
1276,Why government's FRDI Bill will have huge implications for India like demonetisation and GST.Let's see the pros and cons of the proposed legislation.,business
3889,"World Cup 2019: Bangladesh is out but not before the Bengal tigers gave India a fight!.India is through to the semi-finals, but this was no smooth sailing for the Men In Blue, who found a feisty Bangladesh waiting to take them on! Here's why the Bengal team's bite is only getting sharper.",sports
4011,"What Anas Yahiya, Chennai Super Kings and Roma teach us about life and sports.Greatness in any game ends when the next game begins.",sports
916,"Indian professor in China explains how public libraries are benefiting Chinese society.They not only serve as 'knowledge depositories' for research, but also as centres for spreading knowledge.",Arts
3630,Why the world has gone Pokémon Go.Gotta catch 'em all.,tech
796,"Why a cat story with no cats has become an internet sensation.In many ways, this is a story about the unsaid pressure on women when it comes to the sexual act.",Arts
2531,Welcome to Dada's world.Expect more than a gentle knock on the door.,humour
1491,How can India go cashless if online payments aren't seamless?.There must be no hoops and jumps to make even a Rs-1 transaction.,business
4440,"What Virat Kohli's 9-to-5 job looks like.For one, it's not a day job.",sports
3371,"Amazon, Flipkart sales: Best deals on laptops, notebooks and convertibles.This will inspire you to seize the day.",tech
1126,"Why it is time Modi government apologises for the demonetisation disaster.The move inflicted avoidable pain on farmers, daily wage labourers and small enterprises. Also, it served a huge blow to economic growth.",business
19031,Rajasthan by-poll: Five lessons to learn.The BJP lost big in Rajasthan because of too much centralisation.,politics
3193,What rumours say about Pixel 3 and Pixel 3 XL.Google's upcoming flagship phones will raise the bar.,tech
18234,"The Sun: Bare breasts is a double-edged weapon.Is the successful climaxing of the ""No More Page 3"" campaign an orgasmic high for feminists all over the world?",politics
1999,"Why there can't be any battle between kaju katli and other sweets.Logically speaking, what’s even there in soan papdis? A sweet like sawdust in layers is no sweet at all.",humour
18738,Maharashtra politics: Kiss and make up time?.The NCP's conclave in sea-facing Alibaug could change political equations in Mumbai.,politics
1339,Infosys saga: Why Nandan Nilekani will tread cautiously on Narayan Murthy’s allegations.Nilekani is expected to marry the old ideas with the new at India’s second largest IT company that employs two lakh people.,business
524,"How Race 3 reveals Salman Khan's hit formula.At a time when all other superstars are experimenting, the ploy has become his freak USP.",Arts
4035,"Why Virat Kohli is the greatest chaser cricket has ever seen.Behind the glory, the numbers, the chases, the records, are all the runs – quite literally run between the wickets, to make it glitter like gold.",sports
1922,"Valentine's Day 2019: More people are single, we are sure.Why Shashi Tharoor is the 'love guru' we always deserved and finally got in 2019.",humour
3809,Learning science through theatre.Drama can easily be used to demystify scientific concepts and encourage more public interest in the subject.,tech
2365,"Dirty little things poor Vijay Mallya must do to stay alive.You are unstoppable, aren't you?",humour
18102,"Radhey-Krishna! Hindu Mahasabha, read your Gita before you chase unmarried couples.Believing liberal Hindus should hang in there and not be confused by these nasty little men.",politics
374,"India: The picturesque and the colonial.During the 18th and 19th centuries, many British landscape artists sketched and painted India. These picture postcards are an important reminder of India’s past, and not mere nostalgia of a time gone by.",Arts
18637,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
18696,"Compulsory voting will strengthen our democracy.Probably, the time has come, at least for reconsidering the proposal in the light of fresh challenges posed by the Indian democracy.",politics
3433,"5 overhyped smartphones that flopped this year.In these times of plenty, there still exist some that are not worth your hard earned money.",tech
749,Padmaavat release: Former CBFC member talks about SC staying ban on screening.The judgment has reinforced the faith of all those who wish to express ideas and emotions through written or visual medium.,Arts
18934,Effective governance must begin at home.The government now faces the challenge of delivering on its promises on the domestic front in a situation that is none too easy.,politics
3854,Why India and Pakistan must play: I'm glad Gautam Gambhir is not boycotting India-Pak commentary in World Cup 2019.Playing Pakistan is not about the two points in the World Cup. It’s not even the love for cricket.,sports
18498,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
19010,Varanasi: Weaving a future for Madanpura.To school or not to school. That is the big question.,politics
3059,"Nokia 5.1 Plus review: Sweet blend of price, performance and looks.At the price point, the Nokia 5.1 Plus is one of the more rounded devices currently available in the market. But will it be enough?",tech
4059,"So, how do you calculate your return on investment in Rohit Sharma?.Each double hundred he scores, is a validation for the men who backed him through thick and thin - not least being labelled as thick themselves.",sports
18814,"Why Robert Vadra should be forgiven.Historically, the dynasty's sons-in-law have been hard to handle. But by and large Vadra is still a laid-back  guy.",politics
756,Mukkabaaz is Anurag Kashyap at the height of his powers.It’s a film about giving it back. It’s about throwing punches.,Arts
199,"What the KJo-Shah Rukh Khan Twitter episode teaches us about trolls.In all this, however, 'Kesari' has 'Zero' to lose!",Arts
18522,Women safety: Time to change the mindset.Rape is an indication of a society's attitude towards its women.,politics
2353,RCB will win the IPL (without Vijay Mallya's help).[Satire] A weight has been lifted off the players' shoulders.,humour
528,"On Eid, spotting the moon — and infinite sorrow in Parveen Shakir's poetry.The beloved might be alone and waiting for her on this Chand Raat too.",Arts
578,What message did Bollywood send by staying away from #MeToo march at Cannes 2018?.Only two Bollywood actresses joining the march can't be our saving grace.,Arts
1192,"How Walmart is on its way to become the biggest MNC in India.With the Flipkart deal done, the American firm will have over $10 billion of annual business from India.",business
2053,"More laughs, less learning: Jio Institute jokes are breaking the internet.'Much before Jio Institute, people could educate themselves from IINs (Idea Internet networks)...'",humour
18171,"Delhi polls: Kiran Bedi plan has backfired, can BJP stop the Kejri-wave now?.The BJP's CM candidate has begun to self-destruct and the party has now deployed reliable warhorses like Arun Jaitley to control the damage.",politics
4892,"Cricket in India needs Clean India campaign.N Srinivasan needs some serious divine intervention to clear the charges of conflict of interest, ruining cricket, owning an IPL team and running the IPL for mutual gains for the BCCI.",sports
18561,Who is this Godse-loving Sakshi Maharaj?.The BJP MP is known for his hate speeches and accused of being part of the Babri masjid demolition.,politics
4502,How Sania-Saina made 2015 a memorable year for Indian sports.Both ladies achieved the coveted world number one ranking in their respective disciplines.,sports
1622,"If Modi means what he says, he needs Raghuram Rajan to stay.Economic empowerment cannot be realised under circumstances of structural weakness or volatility.",business
2398,Stuart Broad swears to bowl a maiden to Yuvraj Singh.[Satire] Says it will help heal old scars,humour
1471,10 tips to make you rich in 2017.Spend some time reflecting on what is your definition of being rich this new year.,business
2583,"Sangakkara and Tendulkar chat on the challenges of retirement.There was never any love lost between Sanga and cricket boards, but it was too early to discard the pointless mementos.",humour
18332,"Charlie Hebdo: The pencil has a point, guns don't.Our cartoonist Saurabh Singh pays a tribute to the victims of Paris massacre.",politics
2241,"Yes, they are right. Indian Army can make you feel better about yourself.Close your eyes, hold back that tear and think about the soldier.",humour
18549,Saradha scam: Madan Mitra and Mamata's house of cards.West Bengal chief minister’s blue-eyed-boy is also the undisputed king of controversies.,politics
4750,"Cricket World Cup 2015 final: Whose mauka now? Australia, New Zealand or Arnab Goswami?.Will ""Baz"" McCullum flex his Popeye muscles again? Can ""Big Show"" Maxwell turn ""phataa poster niklaa hero"" for Aussies? We'll find out on Sunday.",sports
1348,Why repo rate cut won't help ordinary Indians like you and me.Lower rates certainly cannot boost the economy but lower bank charges can.,business
3436,How India is poised to become a bigger player in space technology.Making the most of India's march towards advance capability with GSLV Mark III.,tech
1441,"India doesn't need Universal Basic Income but economic reforms.UBI can distract us from real policy challenges, and its opportunity costs could be huge",business
4021,"India vs Bangladesh: When Dinesh Karthik made Colombo seem like Chennai.It took a hopelessly bleak situation, an almost lost match, to bring out the best in him. And the crowds.",sports
18545,"Uber rape case: Not the India I thought I knew.Rape is like cancer, a deep and insidious betrayal that threatens the health of the nation.",politics
4426,"Four sixes in four balls, West Indies wins World T20 and hearts.The Caribbeans beat England by four wickets at the Eden Gardens on April 3.",sports
1419,"Nandan Nilekani on how India plans to lead in the digital age.We have the political will, the appropriate regulatory environment and the infrastructure to get there.",business
4381,"It’s still not game, set, match for Djokovic.The Serb is expected to win the golden slam – a feat never accomplished in men’s game.",sports
1248,"Budget 2018: The problem with Arun Jaitley's MSP promise to farmers.While the FM made the government's intention clear, his proposal did not include concrete measures for its implementation.",business
2199,Ranveer Singh's latest ridiculous outfit is going viral on Twitter.The man’s personality is louder than Arnab Goswami in an echo chamber.,humour
4457,Virat Kohli gives you 8 reasons Dhoni and team won't disappoint.The Indian vice-captain exuded confidence ahead of India's first match in the tournament against New Zealand on March 15.,sports
18289,How Obama's coming to India to score his legacy.Finding an enduring solution to climate change is the US President's main concern.,politics
18489,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
4489,#IndvsAus: Dhoni and boys committed harakiri at Canberra.India lost the fourth ODI despite twin centuries by Shikhar Dhawan and Virat Kohli.,sports
2496,"Now you know why Justin Trudeau is the hottest PM on Planet Earth.The Canadian leader knows the importance of stripping, shaking a leg and getting high.",humour
1817,"Indian Business in 2014 : Top 10 highlights.Business leaders with ingenuity went ahead, rewriting the rules and setting new benchmarks, despite strong negative undercurrents.",business
18552,"Sorry Mr Minister, ISIS is in your backyard.It only confirms our security agencies have probably under estimated the ISIS' potential to use India as a base.",politics
3146,"5 fast smartphones with great battery life.After all, battery-packs are as important as the smartphone itself.",tech
1399,"Giving RBI more powers to tackle NPAs is not enough.As the owner of PSBs, the government has to bite the bullet.",business
2248,"Leave everything, PM Modi, and watch AIB on demonetisation.Dear Prime Minister, your insensitivity and dismissal of what ordinary people of India are going through needs a reality check.",humour
4019,"What Cameron Bancroft’s ball tampering will mean for Australian cricket.Playing hard cricket, sledging is one thing, cheating quite another.",sports
674,Padmaavat producer defends deadly jauhar sequence.Viacom 18 COO Ajit Andhare tells Suhani Singh about the trials and tribulations faced during the making of the film.,Arts
2190,My childhood was ruined because Pahlaj Nihalani wasn't there.The censor board chief would have been instrumental in saving me from all the awkward moments.,humour
739,"Sanjay Leela Bhansali's Padmaavat is actually about 'good Hindus' and 'bad Muslims'.It's a narrative the Sangh Parivar and any of its adherents, including Karni Sena, would be proud of.",Arts
1208,"Why Air India is finding no takers.IndiGo and Jet Airways, which earlier showed interest in buying the Maharaja, have backed out.",business
18832,"Five reasons why Robert Vadra is serious.Clearly, the son-in-law has not got the memo. The government has changed and Congress is no longer in power.",politics
1661,"Key takeaways from Budget 2016.Finance minister Arun Jaitley said the government will focus on infrastructure investment, tax reforms and fiscal discipline.",business
219,"'Triple Frontier' Movie Review: The Ben Affleck, Oscar Isaac, Pedro Pascal starrer Netflix crime thriller is sleek, but underwhelming.Netflix paints a beautiful picture, but the story itself fails to provide a solid enough base for the film. I am going with 3 stars out of 5.",Arts
3673,Why Indian smartphone users are complaining of low storage.Chances are that the app you used in 2012 is taking up much more space in 2016.,tech
2778,What happens when a girl asks total strangers on the street the way to a booze shop.This video attempts to bust myth about bad girls.,humour
1561,"Despite $10 billion in tax net, Modi sarkar's amnesty is a colossal failure.Recommendations by the Special Investigation Team on black money must set the next course for the battle against the malaise.",business
1580,"Modi sarkar's good intentions aside, India's banks need more radical reforms.The government needs to question historic conventions and find solutions focused on transparency and fairness.",business
18455,"J&K polls: Omar Abdullah's mind games and PDP's dilemma.If the PDP allies with BJP, both the parties will have to then say goodbye to their long standing political agendas.",politics
3237,"Will Apple's update firefight 'Telugu text bomb'?.Update 11.2.6 fixes an issue that caused affected devices to crash and apps on them such as WhatsApp, iMessage, and Facebook to malfunction.",tech
1508,"Will Modi sarkar be able to normalise demonetisation chaos in next 50 days?.Rajeev Dubey, managing editor, Business Today, explains what the government needs to do immediately.",business
1290,Is Modi government planning to withdraw cheque books?.The plan is to encourage the use of debit and credit cards.,business
2037,We don't know why this photo of Alia Bhatt went viral.But we know what they were thinking!,humour
253,A requiem for a dream: A former auto driver embroiders what he saw of life from his rearview mirror.Bapi Das is exhibiting his work at the ongoing Kochi-Muziris Biennale.,Arts
4276,What Ryder Cup 2016 will be remembered for.The inherent unpredictability of golf and its turns and twists were perfectly played out.,sports
4590,"India's hoping Super Saina does her proud.The badminton champion can now have a realistic crack at that elusive world title, which no Indian has ever won.",sports
1838,"Ear this: Your secret workplace survival trick is now public knowledge!.Ulrika Leons, a health care psychologist, says that plugging in your earphones can ward off unwanted distraction. But we already knew that!",humour
3892,"World Cup 2019: India loses against England, but conspiracy theorists win.Why India's flop show against England on Sunday has tongues wagging in Pakistan.",sports
1802,"How Jaitley's Budget 2015 can be a recipe for disaster for Indian economy.Direct tax assessees need encouragement, not threat or coercion.",business
2870,Vedic science: We have found the formula to be a good Hindu.Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
2256,"Declare Modi a prototype for God.In an age of Digital India, why not have a digital Parliament, and why not a digital prime minister?",humour
18949,Cleaning India: We need more than just brooms.We need a concerted strategy to address the problem of municipal solid waste which is nothing but waste generated by us every day.,politics
789,"Stop tearing The Last Jedi to shreds. It's just a different Star Wars movie.The Force is not a power. So, beat it.",Arts
4391,"IPL 9 has been a Virat Kohli show all the way.It's not just about the way he scores, it's also how he ensures RCB feeds on his energy and performs as a unit.",sports
4916,Indian athletes don't get their due abroad.Sarita Devi's loss at the Asian Games shows the federation needs to back its athletes more.,sports
39,"War's success shows critics and audiences differ on what is a good film.The Hrithik Roshan-Tiger Shroff starrer film is as far as it can be from anything that could further the cause of cinema, but that isn't something that concerns the viewer.",Arts
50,"Akshay Kumar, Fair Superstar: Why criticism over 'sexism' in Akshay Kumar’s 'Mission Mangal' is unwarranted.To many, it seems 'Mission Mangal' gives Akshay Kumar more prominent display than his woman co-stars. But Kumar has always shared screen space equitably with women actors.",Arts
4694,"Why NBA is looking at India for future basketball stars.Despite having five million-plus people who play the game, the country has not been able to produce a player like Sim Bhullar.",sports
879,Every child needs a champion and Aamir Khan is everyone's.Role of popular culture in encouraging change and emboldening the weak cannot be over-emphasised.,Arts
18771,Burdwan blast: Why India is a soft target for terrorists.A communal divide within our borders can easily weaken our national security.,politics
18947,From Gadar to Haider.Cinema often holds a mirror to society.,politics
4729,How SRK cleared Sunil Narine.Even before BCCI!,sports
18191,Pravallika: A transgender's death is not sexy enough for us.We may welcome her when a child is born or have her bless our marriages but God help her if she gets murdered.,politics
3581,"WhatsApp gives you a good reason to discard old phones.If you are one of those relics who still uses outdated handsets that run on antediluvian operating systems, tough luck.",tech
18591,Three reasons why Delhi can't ban Uber.The kneejerk reaction to ban the radio cab app by the Delhi government is pointless.,politics
2259,Hitler reacting to Modi's demonetisation drive is the best thing you'll see today.'He is giving international fascism a bad name.',humour
2275,"How to survive social media.Don't forget, people in real life are far less funny and good-looking than their social network avatars.",humour
2156,Nagin dance can break a marriage: This is why.Better sense prevailed UP bride Priyanka Tripathi who called off the wedding after her groom to-be hit the floor.,humour
2058,"The imagined conversation between Donald Trump and Kim Jong-Un.Bad haircuts, fake news, Dennis Rodman and hamburgers — they have plenty to catch up on!",humour
2172,Trump tweets a new word - covfefe - and everybody is going wtfefe.Was he drunk-tweeting?,humour
109,"Priests or pimps? I almost met God in Vrindavan, but then, I refused to pay for it.Priests have made a lucrative business by playing on people’s faith, but can 'exclusive darshan' of an idol really bring you closer to God? Is that what visiting a famous temple is about?",Arts
4751,How Twitterati also came out in support of Anushka Sharma.The actress came under fire after team India's defeat in the World Cup India versus Australia semi-finals.,sports
2708,Incredible India: Ad shows a mad flight of fancy.You wouldn't believe this short musical film is an advertisement for TATA Gluco.,humour
3204,"5 video games to watch out for in 2018.From Far Cry 5 to A Way Out, these promising titles have either arrived or are slated for launch later this year.",tech
18643,"Words alone won't work in the Northeast, Modi.Riddled with conflict, corruption and political apathy, the region has by and large not featured in India’s growth story.",politics
18813,AFSPA returns to haunt poll discourse in Kashmir.Alleged Army high-handedness has come back to muddy the waters of the Valley yet again.,politics
1733,Who's afraid of BRICS bank?.All eyes will be on the new institution to see if it can actually deliver as competing with the IMF and World Bank would not be a cakewalk.,business
3605,"What to do if Jio not living up to its speed promises.Reliance’s offer may seem too good to be true, but there are ways to make the experience better.",tech
489,"How Sacred Games is burdened with our expectations.The Netflix-original series breaks new ground for Indian TV, but doesn't quite put it on par with the world.",Arts
666,"The ugly truth about India's caste system.[Book extract] History may tell us why the exclusion came to be, but the question — as was famously said — is how to change it.",Arts
2274,"Dear Chetan Bhagat, how was your Karva Chauth?.You have nailed it. Being strong dehumanises a woman, but being strong makes a man 'alpha-male'.",humour
18153,"Gandhi, Jayanti: Letter bomb explodes in Jayanthi Natarajan’s face, Rahul escapes holier.Jayanthi Natarajan does not attack Rahul Gandhi or Sonia Gandhi. She heaps serious charges of misconduct on herself.",politics
577,"Alia Bhatt — the greatest female superstar than all those before her.Raazi actor has hit a moment never enjoyed by successful seniors like Madhubala, Rekha, even Sridevi.",Arts
224,"From Shah Rukh Khan's 'Veer Zaara' to Rajesh Khanna's 'Aradhana', how Bollywood portrayed Indian Air Force pilots over the years.Inspiring, provocative, yet completely poised — the Indian Air Force is at the heart of many a Bollywood war drama!",Arts
1536,"Diwali or not, India can't boycott Chinese goods.The cracker revolutionaries must know that India’s share in Beijing’s global export, more than $2 trillion, is less than even three per cent.",business
594,How the tragedy of Pakistan began with Jinnah’s flaws.Hussain Haqqani's book is an important read for those in India who believe Pakistan and Pakistanis are no different from ‘us’.,Arts
1449,Is the ‘highest ever MGNREGA allocation’ the biggest sham of #UnionBudget2017?.It’s a claim laced with half-truths.,business
1607,"A toxic retro tax is dragging India's global image down.Cairn Energy, one of the victims of this legislation, has claimed Rs 37,700 crore from the government as compensation.",business
2140,"Gorakhpur tragedy: When you say nothing at all, Prime Minister Modi.A satire in an hour of tragedy.",humour
3869,"Watch out for Hima Das, the star and the brand.In a nation starved of sporting icons beyond cricket, more so female ones, the attention directed towards Das is much-welcome news. It helps that Das is not averse to being in the limelight.",sports
3087,"Bones found in cave: Why this 'love child' who died 90,000 years ago has become the darling of scientists.Even inter-faith marriages and the accompanying gossip and court cases don't arouse so much curiosity among Indians.",tech
1619,FDI reforms at last: Kudos to Modi sarkar.India is now expected to become a market-friendly and efficient economy with little space left for cronyism.,business
18166,"Sujatha Singh removal: Why did Modi keep Sushma Swaraj in the dark?.By appointing S Jaishankar as India's foreign secretary, the PM has confirmed more than one rumour.",politics
2309,Why Tamil Nadu CM is Lord Voldemort and UP's Behenji a Devi.How much devotion to our politicians is too much devotion?,humour
18724,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
2362,Ravi Shankar to Vijay Mallya: Modi's India and the art of living it up.The government has been pilloried for letting one flee and allowing another take over a river to pander to Hindutva vote bank.,humour
90,"A tribute to the brilliant Guru Dutt: The great master of the art and craft of film making.On his 94th birth anniversary, we pay a tribute to the legendary actor and director, Guru Dutt, and celebrate his unique contribution to the world of cinema.",Arts
1321,"Modi should worry less about criticism and more about India's economic crisis.In a country of 1.3 billion, young India needs jobs.",business
8,"Jabariya Jodi Movie Review: Despite the zari and jokes, the Sidharth Malhotra-Parineeti Chopra jori doesn't work!.A clumsy plotline, overuse of kitsch and colour, and damp performances by the lead pair, Jabariya Jodi does nothing. I'm going with 2 stars out of 5.",Arts
988,My reasons for not reading Lawrence Durrell’s The Alexandria Quartet.It’s occurred to me that it could well be sheer slothfulness that’s keeping me away.,Arts
4722,"[Hilarious] RCB insider crashes Virat Kohli's shoot. You will not believe what happens next.This IPL season Royal Challengers Bangalore releases a new series, comedian Danish Sait plays the insider.",sports
18415,"UPA or NDA, why little has changed for ex-servicemen.When it comes to the welfare of retired military personnel, the BJP is no different from the Congress.",politics
2581,"How social media kills you, post by post.People use ridiculous expressions peddled online, without thought or fear of repercussion.",humour
2213,"Why build a wall, Donald Trump? Send them to Pakistan, or Mexico.You know you can turn everything south of the US into a Guantanamo Bay.",humour
3978,"A decade without India-Pakistan Test tour: How players and cricket fans are the biggest losers.Matches between the two countries have made stars out of players, but also mortals out of heroes.",sports
4762,IndVsAus: How Cricket World Cup brought Fashion Week to a standstill.It’s the big semi-final between India and Australia and the first show only starts at 4.30pm.,sports
3334,iPhone X vs Galaxy Note 8: Which phone should you buy?.So how does the iPhone X fare against arguably the best Android flagship of the year? Let's find out.,tech
18892,Ebola: What we can do to douse the fire.India must show that this will be our shining moment in health diplomacy and a triumph of international security.,politics
18609,"Will Kashmir defeat the gun this time?.The contest is clearly between the BJP and a resurgent PDP in J&K, though split largely on communal lines.",politics
676,"I was raped at 14: How I fell in the hands of sex traffickers.[Book extract]  He was too confident, too well-rehearsed. I’m sure he ruined the lives of many other girls after me.",Arts
16,"Engelbert Humperdinck: How a shy Madras boy became pop heart-throb.This month, Engelbert turned 84. But his music has transcended time and generations and his voice continues to reach out to people – serving to transport and inspire, to embrace and to provoke emotions.",Arts
4031,How World Number One Roger Federer has perfected the art of winning.One big factor that separates the tennis great from other champions is humility.,sports
4247,Why you should treat yourself to Virat Kohli.No better time than now to reconnect with the magic of cricket.,sports
18313,"Why India is trying to keep both Israel and Palestine happy.It is no secret that Prime Minister Narendra Modi has expedited India's extensive economic, political and strategic ties with Israel.",politics
31,"Wild Karnataka: Attenborough meets Western Ghats in a jugalbandi you cannot miss.From humour, romance, fight sequence to mother sentiments, Wild Karnataka has it all.",Arts
4521,"The pressures of playing with the Tendulkar surname.Carrying the burden of expectations of the unmatched feats of his father, Arjun competes undeterred on the Mumbai cricket circuit.",sports
1066,"After no to RCEP, India must avoid protectionism at all costs.Maybe India was correct in staying out of RCEP, but now it has a lot more work to do at home.",business
18888,"What our birds and beasts tell us about our Gods.We don’t encounter Gods in real life, but we do encounter their steeds.",politics
18197,"Bharat remains an unequal land.Cynical poetry, this Republic Day.",politics
4592,Why every Indian should be proud of these moments in cricket.India's famous victory against Australia in the Eden Gardens Test in 2001 proved to be a turning point for the team.,sports
3498,A hack has put data of 17 million Zomato users at risk: Should India be worried?.The company has assured payment-related information has not been leaked.,tech
2429,Sick brick trick: Ghost of Ram Mandir returns to haunt.Two truckloads of stones for the construction of the temple arrived in Ayodhya early this week.,humour
4554,"Mamata, focus on Bengal. Sourav, fix Bengal cricket.Disappointed why CM had to publicly enter the CAB battle. Aren't cricket boards meant to be 'autonomous'?",sports
136,"Homage to Veeru Devgan: Ajay Devgn’s father and a star in his own right.Veteran action director Veeru Devgan was remarkable for the manner in which he democratised Bollywood, one punch at a time.",Arts
3076,"How AI can help fight obesity.With worldwide obesity nearly tripling since 1975, researchers are now looking at AI to find the answer.",tech
4402,"IPL 9: With Dhoni's bizarre captaincy, Pune had to lose.The RPS captain sent even Ravichandran Ashwin to bat ahead of himself.",sports
1957,Chinese woman can’t hear male voices: Can’t we all fake this ‘rare disease’ in 2019?.(On a lighter note) Will you be actually missing out on anything?,humour
4246,"Virat Kohli is a role model not just for Team India, but Englishmen.Sometimes, it’s scary the way the India captain keeps going on and on.",sports
4702,What Ricky Ponting needs to learn from other Indian coaches.Understanding the dynamics of an IPL team such as Mumbai Indians is very different from leading a national side.,sports
58,"Jabariya Jodi Movie Review: Despite the zari and jokes, the Sidharth Malhotra-Parineeti Chopra jori doesn't work!.A clumsy plotline, overuse of kitsch and colour, and damp performances by the lead pair, Jabariya Jodi does nothing. I'm going with 2 stars out of 5.",Arts
4002,"How the cricketing legend Sachin Tendulkar on April 24, 1998 turned god.It was on this night 20 years ago that India possessed something that was better than anything, anybody, anywhere else in the world.",sports
2406,"Come ink or stink, Arvind Kejriwal.No matter how it is wielded, for AK-365, the pen will always be an ally.",humour
